Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
1. Fußball Club Union Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,34206
1. Fußball-Club Lübars e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Schluchseestraße 68, 13469 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,4565
1. Fußball-Club Lübars e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Schluchseestraße 68, 13469 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,5158
1. Fußball-Club Lübars e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Schluchseestraße 68, 13469 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,4012
1. Fußball-Club Schöneberg 1913 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Gotenstraße 24, 10829 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,3068
1. Fußball-Club Schöneberg 1913 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Gotenstraße 24, 10829 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,2470
1. Fußball-Club Schöneberg 1913 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Gotenstraße 24, 10829 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,1291
1. Fußball-Club Schöneberg 1913 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Gotenstraße 24, 10829 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,1744
1. Fussball-Club Union,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Trainern mit Schwerpunkt im Kinder- und Jugendsport,7826
"1. Fussball-Club Wacker 1921, Lankwitz e. V.",Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Lichterfelder Ring 111, 12279 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,2604
1. Gemeinschaftlicher BC Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Gleditschstraße 69, 10781 Berlin",Sport,Teilhabeprogramm / „Inklusionsbogensport“,5119
1. Majorettencorps Berlin,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Falkentaler Steig 36, 13467 Berlin",Sport,Fördervereinbarung / Leistungssportförderung,300
1. Miniaturgolf-Verein Spandau e. V.,Bezirksamt Spandau,Projektförderung,2019,"Bruchwitzstraße 17, 12247 Berlin","Bürgerschaftliches Engagement, Bürgerbeteiligung",Neuanlage Steingarten und Neubepflanzung einer Hecke,3500
1. Schwimmclub 2018 Zehlendorf- Steglitz e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Nordmannzeile 7, 12157 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,815
1. Schwimmclub Zehlendorf-Steglitz,Bezirksamt Steglitz-Zehlendorf,Projektförderung,2020,"Nordmannzeile 7, 12157 Berlin",Sport,Sondermittelantrag Nummer 2,1000
1. Softball-Club Berlin e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Altmarkstraße 26, 12169 Berlin",Sport,Sport im Park,1175
1. Spandauer Tauchsportclub LOBSTER e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Postfach 20 02 19, 13512 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,615
1. Spandauer Tauchsportclub Lobster e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Postfach 20 02 19, 13512 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,524
1. Spandauer Tauchsportclub Lobster e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Postfach 20 02 19, 13512 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,500
1. Spandauer Tauchsportclub Lobster e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Postfach 20 02 19, 13512 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,747
1. Squash-Club Berlin e. V.,Bezirksamt Reinickendorf,Projektförderung,2019,"Wittenauer Straße 82-86, 13435 Berlin",Stadtentwicklung,Samstagsveranstaltung für jedermann,750
